車款名稱,成本底價,備註
TOYOTA ALTIS 銀 (2022),264000,"里程: 120,807km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 灰 (2022),368000,"里程: 29,351km, 評價: A, 來源: PDF"
TOYOTA ALTIS 白 (2022),380000,"里程: 87,633km, 評價: A, 來源: PDF"
TOYOTA ALTIS 白 (2022),421000,"里程: 55,580km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 白 (2022),330000,"里程: 33,427km, 評價: A, 來源: PDF"
TOYOTA ALTIS 銀 (2022),385000,"里程: 58,665km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 灰 (2022),310000,"里程: 62,614km, 評價: , 來源: PDF"
TOYOTA ALTIS 黑 (2022),291000,"里程: 35,575km, 評價: B, 來源: PDF"
TOYOTA ALTIS 灰 (2022),366000,"里程: 72,109km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 白 (2023),482000,"里程: 27,581km, 評價: A, 來源: PDF"
TOYOTA ALTIS 白 (2023),305000,"里程: 70,248km, 評價: , 來源: PDF"
TOYOTA ALTIS 白 (2023),390000,"里程: 35,494km, 評價: B+, 來源: PDF"
TOYOTA ALTIS 白 (2023),450000,"里程: 49,563km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 白 (2023),508000,"里程: 19,871km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 白 (2023),495000,"里程: 11,462km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 黑 (2023),466000,"里程: 19,388km, 評價: B+, 來源: PDF"
TOYOTA ALTIS 白 (2023),193000,"里程: 0km, 評價: N, 來源: PDF"
TOYOTA ALTIS 灰 (2023),444000,"里程: 49,854km, 評價: A+, 來源: PDF"
TOYOTA ALTIS 淺藍 (2024),368000,"里程: 42,180km, 評價: , 來源: PDF"
TOYOTA ALTIS 白 (2024),485000,"里程: 19,769km, 評價: A, 來源: PDF"
TOYOTA ALTIS 白 (2024),440000,"里程: 28,411km, 評價: B+, 來源: PDF"
TOYOTA ALTIS 黑 (2025),427000,"里程: 5,580km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2019),355000,"里程: 119,972km, 評價: A+, 來源: PDF"
ALTIS HYBRID 銀 (2019),300000,"里程: 180,681km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2019),305000,"里程: 27,696km, 評價: , 來源: PDF"
ALTIS HYBRID 淺藍 (2020),308000,"里程: 173,341km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2021),350000,"里程: 98,149km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2021),375000,"里程: 98,835km, 評價: A+, 來源: PDF"
ALTIS HYBRID 銀 (2022),466000,"里程: 55,251km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2022),529000,"里程: 34,806km, 評價: , 來源: PDF"
ALTIS HYBRID 銀 (2022),330000,"里程: 0km, 評價: N, 來源: PDF"
ALTIS HYBRID 銀 (2022),200000,"里程: 73,880km, 評價: , 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
ALTIS HYBRID 灰 (2022),520000,"里程: 22,069km, 評價: A+, 來源: PDF"
ALTIS HYBRID 紅 (2022),529000,"里程: 34,728km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2022),497000,"里程: 53,152km, 評價: A, 來源: PDF"
ALTIS HYBRID 黑 (2022),437000,"里程: 113,720km, 評價: A, 來源: PDF"
ALTIS HYBRID 黑 (2022),452000,"里程: 18,033km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2022),532000,"里程: 64,109km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2022),373000,"里程: 100,406km, 評價: B+, 來源: PDF"
ALTIS HYBRID 白 (2022),470000,"里程: 73,663km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2022),493000,"里程: 57,926km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2022),436000,"里程: 70,518km, 評價: A, 來源: PDF"
ALTIS HYBRID 白 (2022),269000,"里程: 58,100km, 評價: A, 來源: PDF"
ALTIS HYBRID 銀 (2022),385000,"里程: 88,218km, 評價: A+, 來源: PDF"
ALTIS HYBRID 灰 (2023),501000,"里程: 48,184km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),415000,"里程: 0km, 評價: N, 來源: PDF"
ALTIS HYBRID 白 (2023),511000,"里程: 29,045km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2023),503000,"里程: 91,901km, 評價: , 來源: PDF"
ALTIS HYBRID 灰 (2023),455000,"里程: 39,068km, 評價: , 來源: PDF"
ALTIS HYBRID 白 (2023),464000,"里程: 50,339km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),490000,"里程: 23,667km, 評價: A, 來源: PDF"
ALTIS HYBRID 白 (2023),442000,"里程: 27,669km, 評價: B, 來源: PDF"
ALTIS HYBRID 銀 (2023),472000,"里程: 42,983km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),357000,"里程: 37,250km, 評價: , 來源: PDF"
ALTIS HYBRID 白 (2023),508000,"里程: 24,450km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),480000,"里程: 69,657km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),502000,"里程: 24,911km, 評價: A+, 來源: PDF"
ALTIS HYBRID 灰 (2023),470000,"里程: 45,843km, 評價: A+, 來源: PDF"
ALTIS HYBRID 灰 (2023),493000,"里程: 21,609km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),491000,"里程: 34,900km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),431000,"里程: 46,254km, 評價: B, 來源: PDF"
ALTIS HYBRID 白 (2023),449000,"里程: 45,693km, 評價: B, 來源: PDF"
ALTIS HYBRID 灰 (2023),471000,"里程: 45,952km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2023),476000,"里程: 36,975km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2023),494000,"里程: 33,892km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),492000,"里程: 55,169km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),496000,"里程: 62,063km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2023),454000,"里程: 49,143km, 評價: B+, 來源: PDF"
ALTIS HYBRID 白 (2023),489000,"里程: 41,676km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),492000,"里程: 30,310km, 評價: A, 來源: PDF"
ALTIS HYBRID 白 (2023),491000,"里程: 33,774km, 評價: A+, 來源: PDF"
ALTIS HYBRID 銀 (2023),498000,"里程: 17,194km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),382000,"里程: 51,133km, 評價: C+, 來源: PDF"
ALTIS HYBRID 白 (2023),528000,"里程: 41,951km, 評價: , 來源: PDF"
ALTIS HYBRID 白 (2023),196000,"里程: 44,091km, 評價: N, 來源: PDF"
ALTIS HYBRID 白 (2023),471000,"里程: 67,554km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),585000,"里程: 25,974km, 評價: B, 來源: PDF"
ALTIS HYBRID 銀 (2023),463000,"里程: 45,025km, 評價: A+, 來源: PDF"
ALTIS HYBRID 灰 (2023),473000,"里程: 35,804km, 評價: A+, 來源: PDF"
ALTIS HYBRID 黑 (2023),479000,"里程: 20,262km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),476000,"里程: 19,065km, 評價: B, 來源: PDF"
ALTIS HYBRID 黑 (2023),451000,"里程: 42,290km, 評價: A, 來源: PDF"
ALTIS HYBRID 白 (2023),497000,"里程: 36,288km, 評價: A, 來源: PDF"
ALTIS HYBRID 白 (2023),505000,"里程: 33,291km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),473000,"里程: 53,848km, 評價: A+, 來源: PDF"
ALTIS HYBRID 白 (2023),362000,"里程: 44,285km, 評價: C+, 來源: PDF"
ALTIS HYBRID 白 (2024),463000,"里程: 59,246km, 評價: A+, 來源: PDF"
ALTIS HYBRID 灰 (2024),474000,"里程: 61,400km, 評價: A+, 來源: PDF"
TOYOTA AURIS 白 (2019),411000,"里程: 165,454km, 評價: A+, 來源: PDF"
TOYOTA AURIS 深藍 (2019),360000,"里程: 64,935km, 評價: , 來源: PDF"
TOYOTA AURIS 紅 (2020),413000,"里程: 130,380km, 評價: , 來源: PDF"
TOYOTA bZ4X 灰 (2022),791000,"里程: 38,089km, 評價: A+, 來源: PDF"
TOYOTA bZ4X 灰 (2022),742000,"里程: 54,016km, 評價: A, 來源: PDF"
TOYOTA bZ4X 白黑 (2022),701000,"里程: 92,104km, 評價: A+, 來源: PDF"
TOYOTA bZ4X 白 (2023),780000,"里程: 49,687km, 評價: A, 來源: PDF"
TOYOTA CAMRY 灰 (2007),224970,"里程: 224,970km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 銀 (2008),43000,"里程: 0km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2009),188123,"里程: 188,123km, 評價: B, 來源: PDF"
TOYOTA CAMRY 黑 (2009),192627,"里程: 192,627km, 評價: B, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
TOYOTA CAMRY 黑 (2010),111570,"里程: 111,570km, 評價: B+, 來源: PDF"
TOYOTA CAMRY 黑 (2010),68000,"里程: 22,286km, 評價: C, 來源: PDF"
TOYOTA CAMRY 銀 (2010),116000,"里程: 94,141km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 白 (2011),312824,"里程: 312,824km, 評價: B, 來源: PDF"
TOYOTA CAMRY 灰 (2011),180964,"里程: 180,964km, 評價: B, 來源: PDF"
TOYOTA CAMRY 銀 (2011),138910,"里程: 138,910km, 評價: B, 來源: PDF"
TOYOTA CAMRY 黑 (2011),257619,"里程: 257,619km, 評價: B, 來源: PDF"
TOYOTA CAMRY 黑 (2012),181014,"里程: 181,014km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2012),163893,"里程: 163,893km, 評價: B, 來源: PDF"
TOYOTA CAMRY 淺藍 (2012),140530,"里程: 140,530km, 評價: , 來源: PDF"
TOYOTA CAMRY 灰 (2012),145747,"里程: 145,747km, 評價: B, 來源: PDF"
TOYOTA CAMRY 黑 (2012),131000,"里程: 75,422km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 黑 (2012),141000,"里程: 111,980km, 評價: A, 來源: PDF"
TOYOTA CAMRY 灰 (2013),125000,"里程: 122,517km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 灰 (2013),144390,"里程: 144,390km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2014),183091,"里程: 183,091km, 評價: B, 來源: PDF"
TOYOTA CAMRY 銀 (2015),117000,"里程: 74,131km, 評價: N, 來源: PDF"
TOYOTA CAMRY 銀 (2015),275344,"里程: 275,344km, 評價: B+, 來源: PDF"
TOYOTA CAMRY 黑 (2015),205000,"里程: 103,892km, 評價: A, 來源: PDF"
TOYOTA CAMRY 白 (2015),221938,"里程: 221,938km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黃 (2016),354680,"里程: 354,680km, 評價: B, 來源: PDF"
TOYOTA CAMRY 灰 (2017),220000,"里程: 140,909km, 評價: B, 來源: PDF"
TOYOTA CAMRY 灰 (2018),215000,"里程: 88,155km, 評價: B+, 來源: PDF"
TOYOTA CAMRY 黑 (2019),431000,"里程: 47,245km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2020),305000,"里程: 56,506km, 評價: B, 來源: PDF"
TOYOTA CAMRY 黑 (2020),500000,"里程: 37,168km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 銀 (2020),475000,"里程: 40,283km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2020),556000,"里程: 34,058km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 黑 (2021),550000,"里程: 86,080km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 黑 (2022),657000,"里程: 22,650km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2022),542000,"里程: 106,687km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 銀 (2022),560000,"里程: 31,969km, 評價: A+, 來源: PDF"
TOYOTA CAMRY 黑 (2022),635000,"里程: 28,930km, 評價: A, 來源: PDF"
TOYOTA CAMRY 黑 (2022),576000,"里程: 49,616km, 評價: B, 來源: PDF"
TOYOTA CAMRY 白 (2023),163000,"里程: 140,163km, 評價: B+, 來源: PDF"
CAMRY HYBRID 銀 (2012),229227,"里程: 229,227km, 評價: , 來源: PDF"
CAMRY HYBRID 白 (2012),129000,"里程: 125,211km, 評價: B, 來源: PDF"
CAMRY HYBRID 黑 (2012),195638,"里程: 195,638km, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2012),313138,"里程: 313,138km, 評價: B, 來源: PDF"
CAMRY HYBRID 銀 (2012),95635,"里程: 95,635km, 評價: B, 來源: PDF"
CAMRY HYBRID 銀 (2012),313799,"里程: 313,799km, 評價: B, 來源: PDF"
CAMRY HYBRID 黑 (2012),153174,"里程: 153,174km, 評價: B, 來源: PDF"
CAMRY HYBRID 白 (2013),144449,"里程: 144,449km, 評價: N, 來源: PDF"
CAMRY HYBRID 灰 (2013),127417,"里程: 127,417km, 評價: B, 來源: PDF"
CAMRY HYBRID 黑 (2013),551106,"里程: 551,106km, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2013),52000,"里程: 0km, 評價: B+, 來源: PDF"
CAMRY HYBRID 白 (2013),256131,"里程: 256,131km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2013),28000,"里程: 0km, 評價: B, 來源: PDF"
CAMRY HYBRID 黑 (2013),134000,"里程: 93,193km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2014),123680,"里程: 123,680km, 評價: , 來源: PDF"
CAMRY HYBRID 灰 (2014),233402,"里程: 233,402km, 評價: B+, 來源: PDF"
CAMRY HYBRID 黑 (2014),128000,"里程: 105,447km, 評價: A+, 來源: PDF"
CAMRY HYBRID 銀 (2015),197000,"里程: 132,619km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2015),205055,"里程: 205,055km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2016),304303,"里程: 304,303km, 評價: B+, 來源: PDF"
CAMRY HYBRID 白 (2016),260000,"里程: 198,756km, 評價: A+, 來源: PDF"
CAMRY HYBRID 白 (2016),228000,"里程: 168,789km, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2017),445000,"里程: 104,730km, 評價: A+, 來源: PDF"
CAMRY HYBRID 白 (2017),259000,"里程: 81,961km, 評價: B, 來源: PDF"
CAMRY HYBRID 黑 (2018),363000,"里程: 48,105km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2018),293000,"里程: 143,602km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2018),189000,"里程: 80,451km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2018),207000,"里程: 45,341km, 評價: N, 來源: PDF"
CAMRY HYBRID 黑 (2018),237000,"里程: 161,816km, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2018),245266,"里程: 245,266km, 評價: , 來源: PDF"
CAMRY HYBRID 黃 (2019),367000,"里程: 226,053km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2019),560000,"里程: 54,094km, 評價: B+, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2019),555000,"里程: 83,274km, 評價: B+, 來源: PDF"
CAMRY HYBRID 黑 (2019),330000,"里程: 185,065km, 評價: C, 來源: PDF"
CAMRY HYBRID 銀 (2019),416000,"里程: 160,734km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2020),561000,"里程: 69,105km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2020),669000,"里程: 47,096km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2021),733000,"里程: 29,968km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2022),775000,"里程: 63,618km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2022),657000,"里程: 59,379km, 評價: A+, 來源: PDF"
CAMRY HYBRID 黑 (2022),683000,"里程: 49,229km, 評價: A+, 來源: PDF"
CAMRY HYBRID 銀 (2022),554000,"里程: 111,725km, 評價: A, 來源: PDF"
CAMRY HYBRID 黑 (2022),718000,"里程: 70,338km, 評價: , 來源: PDF"
CAMRY HYBRID 黑 (2023),620000,"里程: 97,466km, 評價: B+, 來源: PDF"
CAMRY HYBRID 黑 (2023),665000,"里程: 65,728km, 評價: A, 來源: PDF"
CAMRY HYBRID 白 (2023),725000,"里程: 40,592km, 評價: A+, 來源: PDF"
TOYOTA C-HR 灰 (2017),329000,"里程: 96,133km, 評價: , 來源: PDF"
TOYOTA C-HR 黑 (2017),328000,"里程: 147,546km, 評價: A, 來源: PDF"
TOYOTA C-HR 銀 (2017),340000,"里程: 107,711km, 評價: B+, 來源: PDF"
TOYOTA C-HR 白黑 (2018),340000,"里程: 110,970km, 評價: , 來源: PDF"
TOYOTA C-HR 白 (2018),263000,"里程: 122,388km, 評價: B, 來源: PDF"
TOYOTA C-HR 灰黑 (2018),273000,"里程: 139,284km, 評價: A, 來源: PDF"
TOYOTA C-HR 灰 (2018),278000,"里程: 178,146km, 評價: A, 來源: PDF"
TOYOTA C-HR 灰黑 (2020),464000,"里程: 71,890km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2020),399000,"里程: 95,193km, 評價: B, 來源: PDF"
COROLLA CROSS 黑 (2020),416000,"里程: 109,981km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2020),150000,"里程: 106,921km, 評價: N, 來源: PDF"
COROLLA CROSS 白 (2020),421000,"里程: 100,857km, 評價: A+, 來源: PDF"
COROLLA CROSS 藍 (2020),273000,"里程: 241,664km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),390000,"里程: 103,793km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),334000,"里程: 165,713km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),290000,"里程: 240,325km, 評價: , 來源: PDF"
COROLLA CROSS 白 (2021),479000,"里程: 39,809km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),346000,"里程: 207,729km, 評價: , 來源: PDF"
COROLLA CROSS 白 (2021),340000,"里程: 172,079km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2021),463000,"里程: 61,283km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2021),446000,"里程: 28,246km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),328000,"里程: 190,775km, 評價: B, 來源: PDF"
COROLLA CROSS 黑 (2021),426000,"里程: 64,085km, 評價: A+, 來源: PDF"
COROLLA CROSS 灰 (2021),383000,"里程: 142,418km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2021),470000,"里程: 27,435km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2021),403000,"里程: 66,920km, 評價: , 來源: PDF"
COROLLA CROSS 白 (2021),422000,"里程: 73,107km, 評價: B, 來源: PDF"
COROLLA CROSS 白 (2021),375000,"里程: 117,983km, 評價: , 來源: PDF"
COROLLA CROSS 白 (2021),522000,"里程: 47,085km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2021),379000,"里程: 119,499km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2021),473000,"里程: 13,234km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2021),375000,"里程: 103,906km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2021),450000,"里程: 75,941km, 評價: B+, 來源: PDF"
COROLLA CROSS 白 (2022),519000,"里程: 51,403km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2022),336000,"里程: 83,411km, 評價: B+, 來源: PDF"
COROLLA CROSS 灰 (2022),515000,"里程: 89,396km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2022),491000,"里程: 23,703km, 評價: A+, 來源: PDF"
COROLLA CROSS 灰 (2022),480000,"里程: 63,333km, 評價: A, 來源: PDF"
COROLLA CROSS 灰 (2022),454000,"里程: 97,348km, 評價: A+, 來源: PDF"
COROLLA CROSS 白黑 (2022),502000,"里程: 114,116km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2022),393000,"里程: 22,422km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),412000,"里程: 137,733km, 評價: B+, 來源: PDF"
COROLLA CROSS 灰 (2022),442000,"里程: 35,083km, 評價: A, 來源: PDF"
COROLLA CROSS 黑 (2022),470000,"里程: 23,296km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),198000,"里程: 0km, 評價: N, 來源: PDF"
COROLLA CROSS 白黑 (2022),420000,"里程: 69,810km, 評價: B, 來源: PDF"
COROLLA CROSS 白黑 (2022),518000,"里程: 75,727km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2022),418000,"里程: 49,393km, 評價: , 來源: PDF"
COROLLA CROSS 灰 (2022),389000,"里程: 155,743km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2022),470000,"里程: 7,691km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2022),470000,"里程: 50,761km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2022),430000,"里程: 95,146km, 評價: A+, 來源: PDF"
COROLLA CROSS 灰 (2022),471000,"里程: 15,481km, 評價: A+, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
COROLLA CROSS 黑 (2022),391000,"里程: 67,908km, 評價: B, 來源: PDF"
COROLLA CROSS 白 (2022),421000,"里程: 57,400km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2022),501000,"里程: 69,487km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),371000,"里程: 165,322km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),468000,"里程: 110,315km, 評價: A, 來源: PDF"
COROLLA CROSS 灰黑 (2022),457000,"里程: 88,514km, 評價: A, 來源: PDF"
COROLLA CROSS 淺藍 (2022),532000,"里程: 39,058km, 評價: A+, 來源: PDF"
COROLLA CROSS 白黑 (2022),526000,"里程: 59,634km, 評價: A+, 來源: PDF"
COROLLA CROSS 白黑 (2022),530000,"里程: 59,576km, 評價: A+, 來源: PDF"
COROLLA CROSS 白黑 (2022),536000,"里程: 59,699km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),458000,"里程: 72,639km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),460000,"里程: 83,481km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),359000,"里程: 165,731km, 評價: A+, 來源: PDF"
COROLLA CROSS 灰 (2022),444000,"里程: 82,163km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),510000,"里程: 104,355km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),530000,"里程: 80,608km, 評價: B+, 來源: PDF"
COROLLA CROSS 白 (2022),520000,"里程: 82,135km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),529000,"里程: 43,854km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2022),581000,"里程: 57,542km, 評價: A+, 來源: PDF"
COROLLA CROSS 紅黑 (2022),180000,"里程: 0km, 評價: N, 來源: PDF"
COROLLA CROSS 白 (2022),411000,"里程: 168,730km, 評價: A, 來源: PDF"
COROLLA CROSS 灰 (2023),320000,"里程: 60,298km, 評價: N, 來源: PDF"
COROLLA CROSS 黑 (2023),490000,"里程: 21,612km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2023),276000,"里程: 60,572km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2023),294000,"里程: 0km, 評價: N, 來源: PDF"
COROLLA CROSS 灰黃 (2023),473000,"里程: 23,096km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2024),472000,"里程: 85,797km, 評價: B+, 來源: PDF"
COROLLA CROSS 白黑 (2024),530000,"里程: 15,876km, 評價: C+, 來源: PDF"
COROLLA CROSS 白 (2024),510000,"里程: 134,640km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2024),553000,"里程: 28,955km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),533000,"里程: 19,070km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),500000,"里程: 33,583km, 評價: A, 來源: PDF"
COROLLA CROSS 白 (2024),548000,"里程: 6,593km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),550000,"里程: 8,625km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),516000,"里程: 22,204km, 評價: A+, 來源: PDF"
COROLLA CROSS 銀 (2024),480000,"里程: 32,044km, 評價: A+, 來源: PDF"
COROLLA CROSS 黑 (2024),527000,"里程: 9,301km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),551000,"里程: 31,338km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),537000,"里程: 36,010km, 評價: A+, 來源: PDF"
COROLLA CROSS 白 (2024),715000,"里程: 6,581km, 評價: , 來源: PDF"
COROLLA CROSS 白 (2025),220000,"里程: 1km, 評價: N, 來源: PDF"
COROLLA CROSS 白 (2025),716000,"里程: 13,210km, 評價: A+, 來源: PDF"
COROLLA SPORT 深藍 (2020),430000,"里程: 85,833km, 評價: A, 來源: PDF"
COROLLA SPORT 紅 (2022),634000,"里程: 1,819km, 評價: A+, 來源: PDF"
TOYOTA CROWN 白 (2023),1078000,"里程: 45,092km, 評價: A+, 來源: PDF"
TOYOTA GRANVIA 黑 (2019),1040000,"里程: 89,087km, 評價: , 來源: PDF"
TOYOTA GRANVIA 黑 (2024),1470000,"里程: 38,506km, 評價: A+, 來源: PDF"
TOYOTA HIACE 銀 (2004),207195,"里程: 207,195km, 評價: , 來源: PDF"
TOYOTA HIACE 銀 (2022),800000,"里程: 55,037km, 評價: A, 來源: PDF"
TOYOTA HILUX 白 (2021),879000,"里程: 63,617km, 評價: , 來源: PDF"
TOYOTA HILUX 黑 (2021),902000,"里程: 37,211km, 評價: A+, 來源: PDF"
TOYOTA HILUX 白 (2022),758000,"里程: 106,780km, 評價: , 來源: PDF"
TOYOTA HILUX 銀 (2023),1086000,"里程: 26,550km, 評價: A+, 來源: PDF"
TOYOTA INNOVA 淺棕 (2010),102250,"里程: 102,250km, 評價: B, 來源: PDF"
TOYOTA INNOVA 銀 (2012),115000,"里程: 107,726km, 評價: , 來源: PDF"
TOYOTA INNOVA 銀 (2012),218174,"里程: 218,174km, 評價: C+, 來源: PDF"
TOYOTA INNOVA 銀 (2012),144085,"里程: 144,085km, 評價: C+, 來源: PDF"
TOYOTA INNOVA 銀 (2012),150647,"里程: 150,647km, 評價: , 來源: PDF"
TOYOTA INNOVA 銀 (2013),54781,"里程: 54,781km, 評價: , 來源: PDF"
TOYOTA INNOVA 銀 (2013),171000,"里程: 130,315km, 評價: B, 來源: PDF"
TOYOTA INNOVA 深藍 (2013),248018,"里程: 248,018km, 評價: B, 來源: PDF"
TOYOTA INNOVA 淺棕 (2014),312754,"里程: 312,754km, 評價: , 來源: PDF"
TOYOTA INNOVA 白 (2014),182736,"里程: 182,736km, 評價: A+, 來源: PDF"
TOYOTA INNOVA 白 (2016),182658,"里程: 182,658km, 評價: B, 來源: PDF"
TOYOTA INNOVA 銀 (2016),196000,"里程: 82,918km, 評價: A+, 來源: PDF"
TOYOTA INNOVA 白 (2016),152000,"里程: 107,841km, 評價: B, 來源: PDF"
TOYOTA PREVIA 銀 (2006),277273,"里程: 277,273km, 評價: B, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
